game,vader_score

csgo,0.13053658338136082
dota,0.10770428997147453
hearthstone,0.15617380135632877
lol,0.13564097541113398
modernwarfare,0.03792684321276849
Overwatch,0.17890898253313958
PUBATTLEGROUNDS,0.09816010138476756
Rainbow6,0.07563891214457093
RocketLeague,0.20761101583854422
valorant,0.16708872638081396
